"id","name","energy_kcal","protein_g","fat_g","carb_g","fiber_g","calcium_mg","sodium_mg"
"105001","奶油",879,0.7,97,0.9,0,14,268
"105002","奶油 (焦克)",447,3,48.3,0,0,,41.1
"105003","奶油 （食品工业）",504,1.1,55.5,0,0,20,190.8
"105004","黄油",888,1.4,98,0,0,35,40.3
"105005","黄油渣",599,11.1,43.8,40,0,597,60.2
"105006","白脱（食品工业）［牛油、 黄油]",744,,82.7,0,0,1,18
"105007","酥油",860,1.5,94.4,1.1,0,,73
"105008","奶油",785,1.1,86,1.7,0,2,1.7
"105009","酥油",718,0.7,74.9,10.3,0,26,26
"105010","酥油茶 (原味)",465,3,17.7,73.3,0,27,265
"109001","炼乳(甜，罐头)",332,8,8.7,55.4,0,242,
"109002","奶皮子",460,12.2,42.9,6.3,0,818,4
"109003","奶片",472,13.3,20.2,59.3,0,269,356
"109004","全脂甜炼乳 (雀巢)",380,7.5,10,64.9,0,,308
"109005","全脂甜炼乳(燕山牌)",374,8.2,10,62.8,0,,428
"109006","脱脂甜炼乳",275,10.3,0.2,58,0,,520
"109007","蛋白粉（益力健乳铁乳清 蛋白粉）",425,50,12.5,28,,,
"109008","牛初乳奶片（纽瑞滋牛初",347,27,4.5,49.5,,,450
"109009","乳咀嚼奶片) 奶渣",381,44.4,4.2,41.3,0,0.04,523
"102101x","全脂奶粉 (代表值）",482,19.9,22.3,50.5,79,513,65
"102101","全脂奶粉 (多维奶粉)",484,19.9,22.7,49.9,68,,22
"102103","全脂奶粉",478,20.1,21.2,51.7,,469,79
"102104","全脂奶粉 (速溶)",466,19.9,18.9,54,,659571,73
"102105","全脂奶粉(雀巢)",504,24,28,39,,930,
"102107","全脂奶粉（伊利牌）",504,22,26,45.5,,750,220.6
"102125","全脂奶粉(红星速溶加锌奶粉)",478,18.5,20.8,54.1,,680,500
"102126","全脂奶粉（欧世蒙牛多维 高钙高铁奶粉）",473,18.2,21.7,51.1,,864,280
"102127","全脂奶粉（雪花钙加锌调 制奶粉)",461,17,19,55.5,,1000,350
"102128","全脂奶粉（雪花高钙多维 调制奶粉）",484,19.5,22,52,,1000,390
"102130x","全脂甜奶粉 (代表值)",485,20.2,22.9,49.6,,558,353
"102131","全脂甜奶粉",490,22.5,23.4,47.4,,495,450.8
"102132","全脂甜奶粉 (伊利牌)",476,19,21,52.8,,620,184.1
"102133","全脂甜奶粉（飞鹤全脂甜乳粉）",479,20,23,48,,,500
"102134","全脂甜奶粉（红星速溶全 脂甜奶粉)",481,18.5,23,50,,,380
"102135","全脂甜奶粉（三元燕山牌 全脂甜奶粉）",500,21,24,50,,,250
"102150x","低脂奶粉(代表值，高钙高铁)",425,23.7,11.9,55.9,,1365,378.5
"102151","低脂奶粉(高钙高铁，雀巢)",413,27,11.7,50,,1745,
"102152","低脂奶粉(高钙高铁，伊利牌)",423,27,11,53.9,,1350,406.9
"102153","低脂奶粉(高钙高铁，可淇牌)",437,17,13,63,,1000,350
"102201","全脂奶粉 (全脂羊乳粉)",498,18.8,25.2,49,,,
"102211","驴奶粉（花麒牌，西域龙 驴奶粉）",442,20.1,12.4,62.4,,775,333
"102212","驴奶粉 (金驴龙奶）",416,14.8,8.2,70.8,,720,292
"102213","驴奶粉(源西域牌，冻干特质)",428,19.3,12.3,60,,449,114
"102221","驼奶粉（花麒牌，西域龙 驼奶粉）",528,20.23,43.4,,83,328,50
"102222","驼奶粉 (天山牧歌牌)",513,16.728,47.1,,47,463,52
"102223","驼奶粉（旺源牌，全脂驼 乳粉）",545,21.334,37,,66,519,53
"102301x","儿童配方奶粉 (代表值)",454,19,17.356,1.1,,493,50
"102302","儿童配方奶粉（安儿健 A+，美赞臣）",428,17.9,11.164,,,450,55
"102303","儿童配方奶粉（适体健， 美赞臣)",417,16.09,68,,,500,60
"102304","儿童配方奶粉 (惠氏)",451,17.015,62,,,450,59
"102305","儿童配方奶粉 (可淇牌)",457,17,17.059,,,425,40
"102306","儿童配方奶粉(完达山牌)",458,17.018,57,,,550,78
"102307","儿童配方奶粉（贝因美特 选幼童配方奶粉4阶段)",473,18.019,56.6,0.6,,,38
"102308","儿童配方奶粉（多美滋优 阶儿童配方奶粉）",406,19.61,59.4,,,521,61
"102309","儿童配方奶粉（惠氏金装 学儿乐学龄前儿童配方奶粉)",442,17.016,58.9,3,,405,53
"102310","儿童配方奶粉（美素佳儿 GOLD 金装儿童配方奶粉）",452,25.8,17.049,,,645,72
"102311","儿童配方奶粉（美赞臣安 儿健儿童配方奶粉）",434,20,12.063,3,,480,56
"102312","儿童配方奶粉（明治珍爱 童儿童配方奶粉）",465,20,19.053,0.3,,530,80
"102313","儿童配方奶粉（欧世蒙牛 金装佳智学龄前儿童特殊配 方奶粉4阶段)",4701970,17.9,20.9,52.5,,400,54
"102314","儿童配方奶粉（雀巢能恩 全进口奶源儿童配方奶粉4）",455,22,19,49,,600,40
"102315","儿童配方奶粉（三元爱益 儿童成长配方奶粉)",5002100,20,20,60,,500,25
"102316","儿童配方奶粉（完达山4 段儿童奶粉）",4621941,,19.255,,0.8,400,
"102317","儿童配方奶粉（完达山金 装元乳4段儿童奶粉)",1954,19.8,54.8,,0.9,450,
"102318","儿童配方奶粉（雪花学生 特殊配方奶粉）",1936,,19.055,,,,
"102319","儿童配方奶粉（雪花学生 营养奶粉）",1942,19.5,54,,,,40
"102320","儿童配方奶粉（雅培金装 喜康宝儿童配方奶粉）",1867,15.9,58.1,0.7,,515,56
"102321","儿童配方奶粉（雅士利儿 童奶粉）",4601934,18,53,,,438,28
"102322","儿童配方奶粉（伊利儿童 配方奶粉）",4651952,20,50.6,0.6,,500,35
"102323","儿童配方奶粉（伊利金领 冠儿童配方奶粉)",467,21.5,20,50.6,0.6,550,38
"102324","儿童配方奶粉（伊利金装 儿童配方奶粉）",4671960,21.5,20.05,0.6,,550,38
"102325","儿童配方奶粉（伊利学生 营养奶粉）",4641947,18.02,53,,,,
"102501x","孕产妇配方奶粉（代表值）",413,22,9.8,60.5,2.9,541,88
"102502","孕产妇配方奶粉 (惠氏)",405,16,6.8,70,,386,130
"102503","孕产妇配方奶粉(美赞臣)",378,23.3,3.9,62.4,,650,75
"102504","孕产妇配方奶粉（贝因美 冠军宝贝孕妈咪配方奶粉）",425,22.5,12,59,4.5,,71
"102505","孕产妇配方奶粉（贝因美 金装爱+孕妈咪配方奶粉）",434,22.5,12,59,,,71
"102506","孕产妇配方奶粉（贝因美 金装爱+准妈咪配方奶粉)",426,22.5,10,61.5,,,
"102507","孕产妇配方奶粉（多美滋 优阶妈妈孕产妇配方奶粉）",360,20.5,2.5,67.4,7.2,580,125
"102508","孕产妇配方奶粉（飞帆孕 产妇配方乳粉）",460,18,17.5,57.7,,,32
"102509","孕产妇配方奶粉（合生元 金装妈妈配方奶粉）",380,27,2.8,62.7,2,,120
"102510","孕产妇配方奶粉（亨氏超 金妈妈孕产妇配方奶粉)",398,26,8,57,3,790,120
"102511","孕产妇配方奶粉（惠氏爱 儿乐妈妈孕产妇配方奶粉）",406,19,6.9,67,,386,48
"102512","孕产妇配方奶粉（美素佳 儿GOLD金装妈妈孕产妇 配方奶粉)",454,27,17.5,47.1,,680,160
"102513","孕产妇配方奶粉（美赞臣 安婴妈妈孕产妇配方奶粉）",383,24,4.3,62,,500,160
"102514","孕产妇配方奶粉（雀巢妈 妈孕产妇奶粉)",407,20,6.5,67,,540,62
"102515","孕产妇配方奶粉（雀巢妈 妈孕产妇营养配方奶粉）",402,20,6,67,,540,62
"102516","孕产妇配方奶粉（三元爱 力优妈妈配方奶粉）",438,22.5,13.8,56.3,0.9,350,38
"102517","孕产妇配方奶粉（圣元优 博妈咪孕产妇配方奶粉)",440,22,16.052,,,400,40
"102518","孕产妇配方奶粉（完达山 妈咪配方奶粉）",4551910,22.517,52.4,1.2,,470,
"102519","孕产妇配方奶粉（雅培妈妈 喜康素金装孕产妇配方奶粉)",3671555,23.12,66,3.7,,590,210
"102520","孕产妇配方奶粉（雅士利 能慧金装孕产妇奶粉)",4251789,20.612,59,3,,600,62
"102521","孕产妇配方奶粉（伊利金 领冠妈妈配方奶粉）",456,22.014,60.9,0.9,,600,40
"102522","孕产妇配方奶粉（伊利孕 妇奶粉）",441,22,14.056,,,600,40
"102523","孕产妇配方羊奶粉（美可 高特孕产妇配方羊奶粉)",447,22.015,54.9,,,,
"102801x","中老年配方奶粉(代表值)",424,21.8,12.855,,0.9,630,58
"102802","中老年配方奶粉(可淇牌)",432,18,12.063,,,500,
"102803","中老年配方奶粉 (雀巢)",429,30,14.4,44.8,,890,100
"102804","中老年配方奶粉(森永牌)",418,22,10,60,,630,75
"102805","中老年配方奶粉（三元爱 益中老年配方奶粉)",448,20,13,63,0.7,500,25
"102806","中老年配方奶粉（雪花中 老年特殊配方奶粉)",432,20,13.658,,1,,45
"102807","中老年营养奶粉（雪花中 老年营养奶粉)",440,21,14.058,,1,,45
"104001","奶酪[干酪］",3281366,23.5,3.5,,11,326,57
"104002","奶豆腐 (脱脂)",343,53.72,26.5,,36,773,25
"104003","奶豆腐（鲜）",305,46.2,7.812,,,657,17
"104004","奶疙瘩「奶酪干，干酸奶]",426,55.1,15,17.7,,730,79.3
"104005","乳酪 (契达干酪，普通)",412,25.5,34.4,0.1,,720,670
"104006","乳酪 (契达干酪，脱脂)",261,31.5,15,,,840,670
"104007","曲拉",356,39.1,2.9,43.4,,1217,285.2
"104008","乳酪 (全脂软酪)",313,8.6,31,,,110,330
"104009","酸酪蛋",443,40.4,20.4,24.4,,756,130.8
"104010","乳酪 (羊乳酪)",250,15.6,20.2,1.5,,360,1440
"104011","乳酪（中脂软酪）",180,9.2,14.5,3.1,,,
"104012","奶酪 (光明牌)",348,16.5,28.4,6.5,,445,1598
"104013","奶酪 (骑士牌)",386,23,25.4,16.3,,796,531.8
"104014","低脂奶酪",241,21.6,11.6,12.6,,522,1684.8
"104015","硬质干酪",411,24.9,34.5,0.1,,731,687
"104016","奶酪（爱氏晨曦牌，儿童 奶酪条)",295,23.9,22.1,,,286,1408.1
"104017","奶酪 (百嘉儿童干酪条)",272,25,18.4,1.5,,536,806.6
"104018","奶酪（多美鲜牌，欧洲奶 油奶酪)",356,13.1,23.4,23.2,,170,845.8
"104019","奶酪（天润牌，无限欢酪）",515,3.5,33,51,,191,40.8
"104020","酸奶疙瘩 (干，农户家)",446,48.8,18.6,20.9,,437,248
"104021","酸奶疙瘩（干，市售）",451,31.1,27.6,19.6,,773,383
"104022","酸奶疙瘩(干,市售、加盐)",383,51.6,11.7,17.8,,702,1933
"104023","酸奶疙瘩（瑞缘牌，中脂 特硬质干酪）",456,14.4,22.3,49.5,,265,80.7
"104024","酸奶疙瘩 (新鲜)",275,18.6,16.8,12.4,,353,108
"101101x","纯牛奶（代表值，全脂）",65,3.3,3.6,4.9,0,107,63.7
"101102","纯牛奶 (全脂，美国牛)",59,2.9,3.2,4.6,0,108,40.2
"101104","纯牛奶（全脂，德国牛）",60,3.1,3,5.1,0,114,45.8
"101105","纯牛奶(全脂，光明牌)",61,3.1,3.2,5,0,85,24.8
"101106","纯牛奶（全脂，乐百氏牌）",67,3.3,3.8,4.8,0,104,38.4
"101107","纯牛奶(全脂,帕玛拉特牌)",61,3,3.1,5.3,0,113,68.2
"101108","纯牛奶（全脂，三元牌）",69,3.4,3.9,5.1,0,88,35.1
"101109","纯牛奶(全脂，完达山牌)",60,2.9,3.2,4.9,0,91,292.1
"101110","纯牛奶（全脂，龙丹牌)",66,2.9,3.8,5.1,0,82,41.5
"101111","纯牛奶 (全脂，蒙牛牌)",67,3.1,3.7,5.3,0,98,48.9
"101112","纯牛奶（全脂，新南洋牌）",67,3.1,3.8,5.1,0,92,46.1
"101113","纯牛奶 (全脂，帕玛拉特)",61,2.9,3.2,5.1,0,93,62.1
"101114","纯牛奶 (全脂，伊利牌)",68,3.2,3.7,5.4,0,110,49.5
"101122","纯牛奶（全脂，爱尔兰金 凯利全脂牛奶)",62,3.2,3.6,4.1,0,108,21.7
"101123","纯牛奶（全脂，澳大利亚 澳田纯牛奶）",62,3.6,3.5,3.9,0,112,20.3
"101124","纯牛奶（全脂，比利时纯 牧牛奶)",61,3.5,3.4,4,0,112,23.9
"101125","纯牛奶（全脂，波兰美波 全脂纯牛奶）",75,3.2,3.4,7.8,0,116,92
"101126","纯牛奶（全脂，丹麦爱氏 晨曦有机全脂牛奶)",67,3.5,3.6,5.2,0,117,18.7
"101127","纯牛奶（全脂，德国爱氏 晨曦纯牛奶)",68,3.4,3.6,5.5,0,87,9
"101128","纯牛奶（全脂，德国甘蒂 牧场纯牛奶）",64,3.3,3.6,4.7,0,107,8
"101129","纯牛奶（全脂，法国得乐 思全脂牛奶)",64,3.7,3.6,4.3,0,116,93.1
"101130","纯牛奶(全脂,光明纯牛奶)",60,3.4,3.4,4,0,118,30.39
"101131","纯牛奶（全脂，光明优+ 高品质纯牛奶)",67,3.6,3.8,4.5,0,114,20.4
"101132","纯牛奶（全脂，广泽澳醇 纯牛奶）",63,3.5,3.6,4.1,0,138,14
"101133","纯牛奶 (全脂，花园牌)",57,2.9,3.3,4,0,55,12
"101134","纯牛奶(全脂,辉山纯牛奶)",66,3.5,3.7,4.7,0,137,16
"101135","纯牛奶（全脂，龙丹松花 江牧场纯牛奶)",67,3.6,3.7,4.8,0,138,15
"101136","纯牛奶(全脂，麦趣尔牌)",61,2.9,3.1,5.3,0,51,12
"101137","纯牛奶(全脂,蒙牛纯牛奶)",67,3.4,3.8,4.7,0,113,9
"101138","纯牛奶（全脂，蒙牛特仑 苏有机纯牛奶)",69,3.4,4,4.9,0,,10
"101139","纯牛奶（全脂，明治醇壹 高温杀菌乳)",67,3.6,3.7,4.8,0,114,11
"101140","纯牛奶（全脂，瑞士艾美 全脂牛奶)",70,3.2,3.5,6.4,0,,9
"101141","纯牛奶（全脂，圣牧有机 纯牛奶)",74,3.5,4.1,5.7,0,91,10
"101142","纯牛奶（全脂，天润牌浓 缩纯奶）",67,3.2,3.5,5.7,0,58,16
"101143","纯牛奶(全脂，完达山纯牛奶)",66,3.5,4.2,3.6,0,137,183.7
"101144","纯牛奶 (全脂，西域春牌)",59,2.9,3.1,4.8,0,60,13
"101145","纯牛奶(全脂，夏进纯牛奶)",63,3.5,3.5,4.4,0,137,190
"101146","纯牛奶（全脂，现代牧业 纯牛奶)",66,3.3,3.6,5.1,0,118,93.6
"101147","纯牛奶(全脂，新希望复原乳）",63,3,3.6,4.6,0,111,32.7
"101148","纯牛奶（全脂，新希望千 岛湖牧场纯牛奶)",62,3.2,3.5,4.3,0,111,31.8
"101149","纯牛奶(全脂，伊利纯牛奶)",66,3.4,3.9,4.2,0,112,9
"101150","纯牛奶（全脂，伊利金典 有机纯牛奶)",73,3.5,4.1,5.4,0,111,14.69
"101151","纯牛奶（全脂，意大利培 兰全脂纯牛奶）",63,3.5,3.6,4.2,0,112,9
"101152x","纯牛奶 (代表值，低脂)",47,3.5,1.5,4.8,0,111,10
"101152","纯牛奶（低脂，帕玛拉特）",43,2.9,1.3,5,0,66,8
"101153","纯牛奶（低脂，澳大利亚 德运部分脱脂纯牛奶)",51,3.3,2,5,0,116,9
"101154","纯牛奶（低脂，德国艾德 牧牌部分脱脂纯牛奶)",45,3.5,1.7,3.8,0,114,9
"101155","纯牛奶（低脂，蒙牛特仑 苏低脂牛奶)",48,3.8,1.3,5.2,0,116,10
"101156","纯牛奶（低脂，明治醇壹 低脂肪高温杀菌乳）",46,3.6,1.2,5.2,0,115,11
"101157","纯牛奶（低脂，新西兰安 佳低脂牛奶)",51,3.8,1.5,5.5,0,86,9
"101158","纯牛奶（低脂，新西兰恒 天然田园低脂牛奶）",45,3.7,1.7,3.8,0,110,10
"101159","低脂奶）",48,3.7,1.3,5.4,0,0.01,279
"101160","尔蒙特低脂牛奶）",45,3.4,1.4,4.6,0,0.01,132
"101161x","",34,3.5,0.3,4.6,0,,200
"101161","",33,2.9,0.2,4.8,0,,204
"101162","澳田脱脂牛奶)",35,3.7,0.3,4.3,0,0,137
"101163","晨曦脱脂纯牛奶）",39,3.5,0.3,5.5,0,0,369
"101164","牧场脱脂牛奶)",34,3.3,0.5,4,0,0.02,148
"101165","佳轻欣脱脂牛奶）",32,3.9,0,4.2,0,0.02,142
"101166","",51,2.7,2,5.6,,,130
"101167","卡夫牌）",79,2.7,3,10.3,,,157
"101168","卡夫牌)",80,2.8,3.2,10,,,154
"101169","三元牌）",74,2.3,2.8,9.9,,,165
"101170","调制乳 (全脂，学生奶)",66,2.6,2.6,8.1,,,140
"101171","核桃牛奶）",62,2.5,2.8,6.6,,0,82
"101172","苏醇纤牛奶)",72,3.4,4,5.5,,0.02,258
"101173","型零乳糖牛奶）",60,3,3.5,4,,0.02,115
"101174","醇牛奶)",69,3.4,3.7,5.4,,138,193.1
"101175","调制乳（全脂，旺仔复原 乳牛奶）",74,2.5,2.6,10.1,,103,22.8
"101176","调制乳（全脂，夏进炼乳 牛奶）",71,2.5,3.1,8.2,,136,154.2
"101177","调制乳（全脂，新西兰安 佳原味进口儿童牛奶）",70,3.6,3.5,5.9,,114,22.9
"101178","调制乳（全脂，新希望特 浓牛奶)",66,3.3,3.5,5.4,,110,21.6
"101179","调制乳(全脂，伊利舒化奶)",68,3.5,3.8,5,,109,18.8
"101180","调制乳（全脂，伊利早餐 奶麦香味)",71,2.9,3.2,7.6,,105,72.3
"101181","调制乳（低脂，强化锌、钙， 帕玛拉特）",60,3,3.1,5,,93,62.1
"101182","调制乳（低脂，澳大利亚 德运高钙低脂奶)",52,3.5,1.1,7.1,,119,17.1
"101183","调制乳（低脂，伊利低脂 型舒化奶）",46,3.4,1.5,4.6,,112,25.5
"101184","调制乳（低脂，伊利高钙 低脂奶）",47,3.2,1.3,5.5,,117,35.6
"101185","调制乳（脱脂，部分复原乳， 澳大利亚德运高钙脱脂奶）",42,3.6,0.3,6.2,,114,23.1
"101186","调制乳(脱脂，伊利脱脂奶)",34,3.3,0.3,4.5,,110,28.9
"101187x","鲜牛奶（代表值，全脂）",67,3.4,3.7,5.1,0,113,120.3
"101187","鲜牛奶(全脂,光明鲜牛奶)",63,3.4,3.5,4.5,0,114,106.4
"101188","鲜牛奶（全脂，辉山鲜博 士鲜牛奶）",70,3.6,4.3,4.1,0,139,190.1
"101189","鲜牛奶(全脂,完达山鲜牛乳)",66,3.6,3.7,4.6,0,96,16
"101190","鲜牛奶（全脂，西域春牌 全脂巴氏杀菌乳）",63,2.5,3.1,6.3,0,65,11
"101191","鲜牛奶（全脂，现代牧场 鲜牛奶)",64,3.4,3.6,4.5,0,126,10
"101192","鲜牛奶（全脂，新希望千 岛湖牧场鲜牛奶)",76,3.6,3.9,6.7,0,118,10
"101193","鲜牛奶(全脂，一鸣鲜牛奶)",66,3.5,3.6,5,0,114,10
"101201","羊乳",59,1.5,3.5,5.4,0,98,
"101301","人乳",65,1.3,3.4,7.4,0,13,32
"101302","人乳（初乳，1～7天)",68,2.2,3.8,6.2,0,16,3
"101303","人乳 (过渡乳，7～14天)",73,2.2,4,7,0,19,3
"101304","人乳（成熟乳）",70,1.2,4.4,6.5,0,16,3
"101401","鲜驴奶",33,0.4,0.6,6.5,0,37,10
"101402","鲜驴奶 (冻)",41,0.5,1.2,7,0,34,11
"101403","鲜驴奶 (花麒牌，冻)",39,0.8,1.1,6.5,0,31,11
"101501","鲜驼奶",72,3.7,3.5,6.5,0,60,10
"101502","鲜驼奶 (冻)",86,3.6,3.5,9.9,0,76,10
"101503","驼奶（旺源牌，易拉罐）",81,3.9,4.6,6,0,75,33
"103001x","酸奶(代表值，全脂)",81,363,2.8,2.6,12.9,,150
"103001","酸奶",85.5,295,3.2,1.9,10,140,32.5
"103002","酸奶 (高蛋白)",62,3.2,2.2,7.3,,161,43
"103003","酸奶（脱脂）",57,3.3,0.4,10,,146,27.7
"103004","酸奶(低脂)",64,2.7,1.9,9,,81,13
"103005","酸奶 (果料)",67,3.1,1.4,10.4,,140,32.5
"103006","酸奶(橘味，脱脂)",48,3.2,0.3,8.2,,89,2.6
"103007","酸奶（调味）",88,3,3.2,11.9,,160,69.6
"103008","酸奶 (果粒) 酸奶（全脂，多美鲜全脂果",98,3.3,2.9,14.6,,61,53.8
"103009","粒，草莓果粒/覆盆子果粒、 桃果粒/西番莲汁/菠萝果粒)",111,1.6,2.8,19.9,,94,37.8
"103010","酸奶（全脂，盖瑞牌，全 脂风味发酵乳)",93,3.1,2.5,14.6,,126,26.9
"103011","酸奶(全脂，花园牌)",77,1.6,2.8,11.3,,114,26.1
"103012","酸奶（全脂，佳丽牌，益 家全脂风味发酵乳)",95,2.9,3.1,13.8,,128,34.5
"103013","酸奶（全脂，天润牌浓缩 酸奶，全脂风味发酵乳）",95,3,2.9,14.1,,183,30.5
"103014","酸奶（全脂，西域春牌新 疆老酸奶，凝固型)",96,3.1,2.6,15.1,,100,27.8
"103015","酸奶（低脂，艾美牌,草莓、 芒果、蓝莓、覆盆子、菠萝 味低脂风味发酵乳）",96,1.6,2.4,16.9,,122,35.8
"219014","蜂蛹［蜂胚、蜂仔］",100,10.6,5.4,2.3,0,1,12
"219015","蜂蛹 (油蜂，干)",669,20,61.4,9,0,38,299.3
"219016","蜂蛹 (大黄)",109,12.1,3.8,6.6,0,27,15.8
"219022","牛蛙",81,15.7,0.5,3.4,,15,34.5
"219028","鸡内金",359,83.1,1.3,3.8,,141,112.9
"219029","乌梢蛇",219,49.4,2,0.9,,7345,385
"219030","团螺",365,70.2,6.6,6.2,,617,143.3
"219031","阿胶",383,73,5.8,9.5,,59,222.5
"219032","珍珠",18,2,0.1,2.4,,39,285.9
"219033","牛黄",353,48,0.9,38.4,,2406,869
"219034","马鹿胎 (粉)",342,36.8,10.8,24.4,,8787,542.7
"219035","蛤",382,70.8,11,0,,4497,369.8
"219036","燕窝",320,57.9,0.2,21.7,,681,1041.1
"219037","蜂胶液",,0.2,,,,49,6.9
"219038","蛤蟆油",241,31.4,1.9,24.6,,86,251.6
"219039","龟甲",134,26.4,2,2.6,,2778,457.5
"219040","刺猬皮",357,69.2,8.6,0.8,,967,285.9
"219041","蜂王浆",,14.6,,,,9,15.6
"219042","裙边 (干)",337,81.6,1.2,0,,154,317.5
"219043","鱼肚 (干)",312,75.6,1,0,,34,11.7
"219044","鱼唇 (干)",347,83.1,1.6,0,,282,177.9
"191001","牛油 (板油)",835,,92,1.8,0,9,9.4
"191002","牛油 (炼)",898,,99.7,0.1,0,,
"191003","鸭油 (炼)",897,,99.7,0,0,,
"191004","羊油 (板油)",824,,88,8,0,,13.2
"191005","羊油 (炼)",895,,99,0.9,0,,
"191006","猪油 (板油)",827,,88.7,7.2,0,,138.5
"191007","猪油 (炼)",897,,99.6,0.2,0,,
"071001","白果(干)[银杏]",355,13.2,1.3,72.6,,54,17.5
"071002","菠萝蜜",164,4.9,0.3,36.7,2.3,18,11.5
"071003","核桃(鲜)",336,12.8,29.9,6.1,4.3,,
"071004","核桃（干)[胡桃]",646,14.9,58.8,19.1,9.5,56,6.4
"071005","毛核桃",184,12,6.7,21.7,5.4,,
"071006","山核桃 (干)",616,18,50.4,26.2,7.4,57,250.7
"071008","栗子(鲜）[板栗]",188,4.2,0.7,42.2,1.7,17,13.9
"071009","栗子（干）[板栗]",348,5.3,1.7,78.4,1.2,,8.5
